Household_ID,Country,City,Family_Size,Num_Earners,Primary_Income,Total_Household_Income,Estimated_Taxes,Monthly_Expenses,Monthly_Savings
1,India,Mumbai,5,3,1032.29,2132.95,213.3,611.63,1308.02
2,UK,London,2,1,5316.57,5316.57,1329.14,2240.25,1747.18
3,Brazil,Sao Paulo,6,3,827.81,2241.32,336.2,1111.05,794.07
4,Germany,Munich,4,1,5139.02,5139.02,1798.66,2922.76,417.61
5,USA,New York,4,3,4506.74,9624.55,2598.63,2910.88,4115.04
6,USA,Chicago,5,2,4536.89,7235.89,1591.9,2437.1,3206.89
7,USA,Chicago,7,3,3957.13,8172.73,2206.64,4197.44,1768.65
8,UK,London,8,2,3568.25,5214.34,1303.58,4948.41,-1037.65
9,Germany,Berlin,2,2,5277.68,7838.3,2743.4,2485.94,2608.95
10,Brazil,Sao Paulo,4,3,1256.63,2425.63,363.85,902.75,1159.04
11,USA,Chicago,8,3,3240.5,7497.82,1649.52,5856.22,-7.92
12,UK,London,5,3,5768.09,12306.86,3692.06,3665.66,4949.14
13,Brazil,Sao Paulo,4,3,1874.51,4891.43,733.71,1058.63,3099.08
14,USA,Chicago,4,1,5331.87,5331.87,1173.01,2468.58,1690.27
15,USA,New York,6,3,3303.29,7122.85,1567.03,3888.71,1667.11
16,USA,New York,8,3,5271.37,10559.0,2850.93,5581.91,2126.16
17,India,Mumbai,6,1,503.73,503.73,50.37,478.04,-24.68
18,Germany,Berlin,4,3,1811.79,4102.22,1435.78,3423.09,-756.65
19,India,Delhi,8,3,780.53,1470.57,147.06,852.28,471.24
20,India,Mumbai,3,2,1052.75,1519.97,152.0,454.47,913.5
21,Germany,Berlin,8,3,1783.82,3876.5,1356.77,3678.8,-1159.07
22,USA,New York,6,3,4946.52,10225.2,2760.8,4159.5,3304.9
23,India,Mumbai,2,2,913.67,1426.94,142.69,365.58,918.66
24,India,Mumbai,5,3,750.07,1579.72,157.97,548.66,873.09
25,India,Delhi,5,1,762.88,762.88,76.29,612.98,73.61
26,Brazil,Sao Paulo,7,2,2045.88,3493.85,524.08,1994.69,975.09
27,USA,New York,2,1,5129.27,5129.27,1128.44,2237.31,1763.52
28,Germany,Munich,2,2,3850.03,6315.44,2210.41,1981.55,2123.49
29,Germany,Berlin,2,1,3318.58,3318.58,1161.5,2661.29,-504.21
30,USA,New York,7,3,4285.95,8834.4,2385.29,3210.62,3238.5
31,Germany,Berlin,2,2,6223.76,10829.91,4331.96,1643.11,4854.84
32,USA,New York,1,1,4359.33,4359.33,959.05,1227.08,2173.21
